Part,Link (all 1206),Price,#,Total
mmbt3904,http://www.digikey.com/product-detail/en/MMBT3904WT1G/MMBT3904WT1GOSCT-ND/1139816,0.17,2,0.34
470R,http://www.digikey.com/product-detail/en/RMCF1206FT470R/RMCF1206FT470RCT-ND/1942666,0.06,1,0.06
22k,http://www.digikey.com/product-detail/en/RMCF1206JT22K0/RMCF1206JT22K0CT-ND/1942807,0.05,2,0.1
47k,http://www.digikey.com/product-detail/en/RMCF1206JT47K0/RMCF1206JT47K0CT-ND/1942812,0.05,1,0.05
1M,http://www.digikey.com/product-detail/en/RMCF1206JT1M00/RMCF1206JT1M00CT-ND/1942830,0.05,1,0.05
10pF,http://www.digikey.com/product-detail/en/CL31C100JBCNNNC/1276-1843-1-ND/3889929,0.14,1,0.14
39pF,http://www.digikey.com/product-detail/en/CL31C390JBCNNNC/1276-1265-1-ND/3889351,0.18,1,0.18
1nF,http://www.digikey.com/product-detail/en/C1206C102J5RACTU/399-8131-1-ND/3471854,0.12,1,0.12
22nF,http://www.digikey.com/scripts/DkSearch/dksus.dll?Detail&itemSeq=146932213&uq=635313423413195307,0.1,2,0.2
1uF,http://www.digikey.com/product-detail/en/CL31B105JAHNNNE/1276-3085-1-ND/3891171,0.21,1,0.21
Bat holder,http://www.digikey.com/product-detail/en/BAT-HLD-001-THM/BAT-HLD-001-THM-ND/3044009,0.27,1,0.27
Battery,http://www.digikey.com/product-detail/en/CR2032/P189-ND/31939,0.28,1,0.28
Switch,http://www.digikey.com/product-detail/en/CSS-1210MC/563-1090-ND/1124205,0.56,1,0.56
Microphone,http://www.digikey.com/product-detail/en/AOM-4544P-2-R/668-1197-ND/1745492,1.65,1,1.65
